Date,City,Product_Category,Product,Quantity,Product_Price
13-02-2026,Hyderabad,High Protein Milk,Matcha,118,125
31-01-2026,Delhi NCR,Dairy Products,Kharwas,93,75
02-03-2026,Mumbai,Ghee,Buffalo Ghee,82,500
05-02-2026,Mumbai,High Protein Milk,Milk 250 ML Pouch,33,75
28-01-2026,Jaipur,High Protein Milk,Matcha,27,125
25-02-2026,Hyderabad,High Protein Milk,Kesar Elaichi,111,100
25-01-2026,Pune,Ghee,Cultured Cow Ghee,113,500
27-02-2026,Jaipur,Nutrition Rich Milk,Homogenised A2 Cow Milk,79,55
09-01-2026,Hyderabad,Dairy Products,Cow Milk Paneer,41,100
13-01-2026,Pune,Nutrition Rich Milk,Lactose Free Milk,19,75
09-01-2026,Jaipur,Ghee,A2 Gir Cow Ghee,40,1000
24-01-2026,Pune,Ghee,A2 Gir Cow Ghee,31,1000
13-02-2026,Mumbai,Dairy Products,Dahi,24,45
17-01-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,59,195
12-01-2026,Mumbai,Ghee,Cultured Cow Ghee,51,500
01-03-2026,Hyderabad,High Protein Milk,Mango Milk,34,130
24-01-2026,Mumbai,Ghee,Cultured Cow Ghee,30,500
26-01-2026,Mumbai,Dairy Products,Kharwas,7,75
10-02-2026,Hyderabad,Nutrition Rich Milk,Homogenised A2 Cow Milk,82,55
18-01-2026,Pune,Ghee,Cultured Cow Ghee,60,500
01-03-2026,Hyderabad,Dairy Products,Chocolate Milk,49,90
20-01-2026,Mumbai,Nutrition Rich Milk,Homogenised Cow Milk,107,50
14-02-2026,Hyderabad,High Protein Milk,Milk 0.5L,113,120
21-02-2026,Hyderabad,Nutrition Rich Milk,Raw Cow Milk,111,50
09-01-2026,Jaipur,Nutrition Rich Milk,A2 Cow Milk,68,55
06-01-2026,Pune,High Protein Milk,Cacao Milk,104,120
28-01-2026,Hyderabad,Dairy Products,Cow Milk Paneer,82,100
20-01-2026,Hyderabad,High Protein Milk,Milk,19,75
24-01-2026,Jaipur,Ghee,Cultured Cow Ghee,35,500
22-02-2026,Delhi NCR,Nutrition Rich Milk,Raw Cow Milk,85,50
11-01-2026,Delhi NCR,Dairy Products,Cow Milk Paneer,12,100
22-02-2026,Jaipur,Nutrition Rich Milk,Homogenised A2 Cow Milk,63,55
13-02-2026,Jaipur,High Protein Milk,Milk 250 ML Pouch,100,75
10-01-2026,Pune,Dairy Products,Chocolate Milk,7,90
02-03-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,108,195
16-01-2026,Jaipur,High Protein Milk,Kesar Elaichi,19,100
15-01-2026,Mumbai,Dairy Products,Cow Milk Paneer,47,100
04-01-2026,Delhi NCR,Nutrition Rich Milk,Pasteurized Buffalo Milk,46,55
18-02-2026,Mumbai,Ghee,Cultured Cow Ghee,8,500
29-01-2026,Hyderabad,Dairy Products,A2 Gir Cow Paneer,63,195
05-01-2026,Jaipur,Nutrition Rich Milk,Pasteurized Buffalo Milk,106,55
05-02-2026,Hyderabad,Dairy Products,Door Bag,119,250
24-01-2026,Jaipur,Ghee,Buffalo Ghee,109,500
02-03-2026,Pune,Dairy Products,Cow Milk Paneer,88,100
06-01-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,100,55
19-01-2026,Jaipur,Dairy Products,Kharwas,44,75
14-01-2026,Pune,Nutrition Rich Milk,Lactose Free Milk,12,75
05-02-2026,Hyderabad,High Protein Milk,Milk,111,75
27-02-2026,Mumbai,High Protein Milk,Matcha,63,125
26-01-2026,Pune,High Protein Milk,Milk 0.5L,15,120
11-01-2026,Hyderabad,Ghee,Cultured Cow Ghee,57,500
19-02-2026,Delhi NCR,High Protein Milk,Mango Milk,44,130
18-01-2026,Mumbai,High Protein Milk,Cacao Milk,52,120
24-01-2026,Jaipur,Ghee,Buffalo Ghee,106,500
27-02-2026,Pune,Nutrition Rich Milk,Lactose Free Milk,85,75
01-03-2026,Jaipur,Nutrition Rich Milk,Pasteurized Buffalo Milk,78,55
10-02-2026,Hyderabad,Ghee,Buffalo Ghee,48,500
13-02-2026,Pune,Ghee,A2 Gir Cow Ghee,79,1000
24-01-2026,Mumbai,Dairy Products,A2 Gir Cow Paneer,6,195
13-02-2026,Pune,Nutrition Rich Milk,A2 Cow Milk,21,55
16-01-2026,Hyderabad,High Protein Milk,Milk 0.5L,33,120
11-01-2026,Hyderabad,Ghee,Cultured Cow Ghee,39,500
13-02-2026,Mumbai,Dairy Products,Dahi,58,45
01-03-2026,Mumbai,High Protein Milk,Coffee,76,90
11-01-2026,Delhi NCR,Dairy Products,Dahi,74,45
21-01-2026,Mumbai,Dairy Products,Door Bag,62,250
15-01-2026,Delhi NCR,High Protein Milk,Milk,17,75
02-01-2026,Pune,Ghee,Buffalo Ghee,110,500
09-02-2026,Hyderabad,High Protein Milk,Milk,75,75
01-02-2026,Pune,Dairy Products,Dahi,42,45
11-02-2026,Hyderabad,Nutrition Rich Milk,Lactose Free Milk,61,75
22-02-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,87,55
07-02-2026,Hyderabad,Dairy Products,Door Bag,112,250
24-02-2026,Hyderabad,Ghee,A2 Gir Cow Ghee,22,1000
01-02-2026,Jaipur,Nutrition Rich Milk,Homogenised A2 Cow Milk,89,55
28-02-2026,Jaipur,High Protein Milk,Mango Milk,65,130
01-01-2026,Hyderabad,Dairy Products,Door Bag,100,250
07-01-2026,Mumbai,Nutrition Rich Milk,Pasteurized Buffalo Milk,75,55
02-01-2026,Delhi NCR,High Protein Milk,Milk 250 ML Pouch,23,75
15-02-2026,Jaipur,Nutrition Rich Milk,Lactose Free Milk,93,75
01-02-2026,Mumbai,Ghee,Cultured Cow Ghee,86,500
24-02-2026,Pune,Ghee,A2 Gir Cow Ghee,114,1000
24-02-2026,Mumbai,High Protein Milk,Milk 250 ML Pouch,42,75
23-01-2026,Delhi NCR,Ghee,Cultured Cow Ghee,44,500
11-02-2026,Jaipur,Dairy Products,Cow Milk Paneer,55,100
10-02-2026,Hyderabad,Nutrition Rich Milk,Homogenised Cow Milk,114,50
04-02-2026,Mumbai,Nutrition Rich Milk,Pasteurized Buffalo Milk,105,55
08-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,11,500
24-02-2026,Hyderabad,Dairy Products,Door Bag,115,250
23-02-2026,Hyderabad,Dairy Products,Chocolate Milk,15,90
03-01-2026,Mumbai,Nutrition Rich Milk,Pasteurized Buffalo Milk,22,55
18-02-2026,Pune,High Protein Milk,Matcha,59,125
10-02-2026,Pune,High Protein Milk,Cacao Milk,120,120
14-01-2026,Jaipur,Nutrition Rich Milk,Raw Cow Milk,85,50
14-01-2026,Pune,Dairy Products,A2 Gir Cow Paneer,61,195
25-02-2026,Mumbai,High Protein Milk,Milk 0.5L,18,120
16-01-2026,Mumbai,Ghee,Buffalo Ghee,17,500
23-02-2026,Pune,Dairy Products,Kharwas,71,75
04-02-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,79,1000
02-03-2026,Jaipur,Ghee,Buffalo Ghee,76,500
19-02-2026,Jaipur,Ghee,A2 Gir Cow Ghee,82,1000
12-01-2026,Jaipur,Ghee,A2 Gir Cow Ghee,10,1000
27-02-2026,Pune,Ghee,A2 Gir Cow Ghee,26,1000
26-01-2026,Hyderabad,Nutrition Rich Milk,A2 Cow Milk,108,55
16-01-2026,Delhi NCR,Nutrition Rich Milk,Pasteurized Buffalo Milk,93,55
23-01-2026,Pune,Nutrition Rich Milk,Raw Cow Milk,50,50
03-02-2026,Delhi NCR,Nutrition Rich Milk,Homogenised A2 Cow Milk,99,55
19-02-2026,Hyderabad,High Protein Milk,Matcha,84,125
15-01-2026,Pune,Ghee,Buffalo Ghee,18,500
15-02-2026,Jaipur,Dairy Products,Kharwas,12,75
18-02-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,110,195
21-01-2026,Mumbai,Dairy Products,A2 Gir Cow Paneer,53,195
05-01-2026,Delhi NCR,Dairy Products,Kharwas,6,75
08-01-2026,Jaipur,Dairy Products,Kharwas,109,75
19-02-2026,Jaipur,Nutrition Rich Milk,Homogenised Cow Milk,30,50
31-01-2026,Hyderabad,High Protein Milk,Milk,11,75
18-02-2026,Jaipur,Dairy Products,Cow Milk Paneer,117,100
04-02-2026,Jaipur,Ghee,A2 Gir Cow Ghee,48,1000
03-01-2026,Pune,Ghee,A2 Gir Cow Ghee,69,1000
02-01-2026,Delhi NCR,High Protein Milk,Coffee,22,90
08-01-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,103,1000
06-02-2026,Jaipur,Nutrition Rich Milk,Homogenised Cow Milk,50,50
23-01-2026,Pune,Ghee,Buffalo Ghee,111,500
08-01-2026,Delhi NCR,Dairy Products,Door Bag,17,250
02-01-2026,Mumbai,Nutrition Rich Milk,Pasteurized Buffalo Milk,51,55
09-01-2026,Delhi NCR,Dairy Products,Cow Milk Paneer,117,100
17-01-2026,Delhi NCR,Nutrition Rich Milk,Pasteurized Buffalo Milk,11,55
01-03-2026,Mumbai,High Protein Milk,Kesar Elaichi,49,100
17-02-2026,Mumbai,Ghee,Cultured Cow Ghee,14,500
17-01-2026,Jaipur,Nutrition Rich Milk,Homogenised Cow Milk,27,50
23-01-2026,Pune,High Protein Milk,Milk 250 ML Pouch,97,75
28-01-2026,Hyderabad,High Protein Milk,Matcha,78,125
06-02-2026,Pune,High Protein Milk,Cacao Milk,51,120
04-01-2026,Jaipur,Dairy Products,Dahi,60,45
01-01-2026,Mumbai,High Protein Milk,Mango Milk,114,130
07-02-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,24,1000
01-01-2026,Jaipur,High Protein Milk,Mango Milk,55,130
24-02-2026,Delhi NCR,Dairy Products,Door Bag,71,250
17-02-2026,Pune,Dairy Products,Cow Milk Paneer,19,100
03-02-2026,Mumbai,Nutrition Rich Milk,Homogenised A2 Cow Milk,77,55
30-01-2026,Mumbai,Dairy Products,Kharwas,102,75
09-01-2026,Jaipur,Nutrition Rich Milk,A2 Cow Milk,6,55
21-01-2026,Jaipur,Ghee,Buffalo Ghee,24,500
01-01-2026,Hyderabad,Nutrition Rich Milk,Raw Cow Milk,108,50
20-01-2026,Hyderabad,High Protein Milk,Milk 250 ML Pouch,28,75
18-02-2026,Pune,High Protein Milk,Cacao Milk,9,120
13-02-2026,Hyderabad,High Protein Milk,Chickoo Milk,41,120
22-02-2026,Delhi NCR,High Protein Milk,Matcha,68,125
09-02-2026,Delhi NCR,Nutrition Rich Milk,Raw Cow Milk,8,50
14-01-2026,Delhi NCR,Nutrition Rich Milk,Homogenised Cow Milk,61,50
18-02-2026,Mumbai,High Protein Milk,Cacao Milk,120,120
16-01-2026,Delhi NCR,High Protein Milk,Kesar Elaichi,79,100
04-02-2026,Hyderabad,Nutrition Rich Milk,Homogenised Cow Milk,71,50
14-02-2026,Delhi NCR,High Protein Milk,Matcha,40,125
25-01-2026,Hyderabad,Nutrition Rich Milk,Lactose Free Milk,112,75
05-02-2026,Mumbai,Nutrition Rich Milk,Homogenised A2 Cow Milk,12,55
02-01-2026,Pune,High Protein Milk,Kesar Elaichi,24,100
13-01-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,97,50
06-01-2026,Mumbai,Ghee,Cultured Cow Ghee,101,500
26-01-2026,Delhi NCR,Ghee,Cultured Cow Ghee,17,500
27-02-2026,Jaipur,Ghee,A2 Gir Cow Ghee,79,1000
17-02-2026,Pune,High Protein Milk,Coffee,22,90
27-01-2026,Hyderabad,High Protein Milk,Milk,40,75
20-02-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,10,50
25-01-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,87,1000
13-02-2026,Delhi NCR,Nutrition Rich Milk,Homogenised A2 Cow Milk,79,55
11-02-2026,Jaipur,Dairy Products,Chocolate Milk,82,90
11-02-2026,Hyderabad,Dairy Products,A2 Gir Cow Paneer,37,195
12-01-2026,Hyderabad,Ghee,Buffalo Ghee,83,500
06-02-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,50,1000
17-02-2026,Pune,High Protein Milk,Milk 0.5L,32,120
28-02-2026,Hyderabad,Dairy Products,Door Bag,78,250
27-02-2026,Pune,Ghee,A2 Gir Cow Ghee,58,1000
20-02-2026,Pune,Dairy Products,Chocolate Milk,25,90
17-02-2026,Delhi NCR,Dairy Products,Kharwas,98,75
02-03-2026,Jaipur,High Protein Milk,Kesar Elaichi,16,100
13-02-2026,Jaipur,Nutrition Rich Milk,Homogenised A2 Cow Milk,80,55
13-01-2026,Jaipur,Nutrition Rich Milk,Raw Cow Milk,89,50
13-02-2026,Delhi NCR,High Protein Milk,Chickoo Milk,108,120
10-01-2026,Jaipur,High Protein Milk,Chickoo Milk,12,120
05-01-2026,Mumbai,High Protein Milk,Matcha,24,125
01-02-2026,Jaipur,Nutrition Rich Milk,Homogenised A2 Cow Milk,63,55
14-01-2026,Hyderabad,High Protein Milk,Milk,56,75
12-01-2026,Mumbai,Ghee,Buffalo Ghee,106,500
11-02-2026,Mumbai,Ghee,Buffalo Ghee,57,500
27-02-2026,Delhi NCR,Dairy Products,Dahi,8,45
13-02-2026,Hyderabad,Ghee,A2 Gir Cow Ghee,18,1000
18-02-2026,Mumbai,Ghee,Cultured Cow Ghee,62,500
15-02-2026,Delhi NCR,Dairy Products,Dahi,53,45
31-01-2026,Mumbai,Nutrition Rich Milk,Lactose Free Milk,90,75
06-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,22,500
01-03-2026,Delhi NCR,Ghee,Buffalo Ghee,18,500
23-01-2026,Pune,Ghee,Cultured Cow Ghee,79,500
18-01-2026,Mumbai,High Protein Milk,Milk 0.5L,21,120
16-01-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,8,55
10-01-2026,Mumbai,Dairy Products,A2 Gir Cow Paneer,90,195
17-02-2026,Jaipur,Nutrition Rich Milk,Homogenised Cow Milk,83,50
16-02-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,52,55
08-02-2026,Pune,Nutrition Rich Milk,Raw Cow Milk,108,50
16-01-2026,Pune,High Protein Milk,Milk,113,75
18-02-2026,Mumbai,Ghee,A2 Gir Cow Ghee,114,1000
03-02-2026,Jaipur,High Protein Milk,Milk 250 ML Pouch,84,75
26-02-2026,Hyderabad,Dairy Products,A2 Gir Cow Paneer,48,195
07-01-2026,Delhi NCR,Dairy Products,Door Bag,39,250
26-02-2026,Mumbai,Ghee,Cultured Cow Ghee,34,500
18-02-2026,Pune,Nutrition Rich Milk,A2 Cow Milk,114,55
18-01-2026,Pune,High Protein Milk,Milk 250 ML Pouch,61,75
25-02-2026,Jaipur,Nutrition Rich Milk,Homogenised A2 Cow Milk,116,55
12-01-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,57,195
14-01-2026,Pune,Ghee,Buffalo Ghee,103,500
24-02-2026,Hyderabad,Nutrition Rich Milk,Homogenised A2 Cow Milk,31,55
27-02-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,62,55
12-02-2026,Mumbai,Ghee,Cultured Cow Ghee,69,500
28-01-2026,Pune,Ghee,Cultured Cow Ghee,34,500
14-01-2026,Hyderabad,Nutrition Rich Milk,Homogenised Cow Milk,102,50
11-01-2026,Pune,Dairy Products,Dahi,102,45
25-02-2026,Mumbai,Dairy Products,A2 Gir Cow Paneer,110,195
31-01-2026,Hyderabad,Nutrition Rich Milk,Raw Cow Milk,103,50
19-01-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,61,1000
13-01-2026,Mumbai,High Protein Milk,Cacao Milk,43,120
10-02-2026,Pune,Ghee,Cultured Cow Ghee,110,500
30-01-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,71,195
04-02-2026,Jaipur,Ghee,Cultured Cow Ghee,17,500
25-01-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,7,55
24-02-2026,Jaipur,Dairy Products,Chocolate Milk,104,90
02-03-2026,Delhi NCR,Nutrition Rich Milk,Homogenised Cow Milk,88,50
13-02-2026,Pune,Dairy Products,Chocolate Milk,9,90
19-01-2026,Delhi NCR,High Protein Milk,Milk 0.5L,37,120
23-01-2026,Jaipur,Ghee,Cultured Cow Ghee,61,500
04-01-2026,Delhi NCR,High Protein Milk,Mango Milk,37,130
31-01-2026,Hyderabad,Dairy Products,Door Bag,84,250
24-01-2026,Pune,High Protein Milk,Kesar Elaichi,22,100
22-02-2026,Jaipur,Nutrition Rich Milk,Pasteurized Buffalo Milk,24,55
23-01-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,37,50
12-02-2026,Delhi NCR,Ghee,Buffalo Ghee,101,500
08-01-2026,Hyderabad,Dairy Products,Door Bag,8,250
21-01-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,52,55
06-02-2026,Hyderabad,Ghee,Cultured Cow Ghee,30,500
24-01-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,61,55
02-02-2026,Pune,High Protein Milk,Matcha,119,125
31-01-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,87,55
25-01-2026,Jaipur,Ghee,Buffalo Ghee,72,500
09-02-2026,Jaipur,Nutrition Rich Milk,Homogenised Cow Milk,61,50
25-01-2026,Pune,Dairy Products,A2 Gir Cow Paneer,60,195
10-02-2026,Pune,Dairy Products,Cow Milk Paneer,48,100
23-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,10,500
21-01-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,50,195
11-02-2026,Pune,High Protein Milk,Mango Milk,73,130
10-01-2026,Mumbai,Dairy Products,Chocolate Milk,11,90
13-01-2026,Delhi NCR,Nutrition Rich Milk,Pasteurized Buffalo Milk,107,55
11-02-2026,Hyderabad,Dairy Products,Cow Milk Paneer,89,100
28-02-2026,Jaipur,Nutrition Rich Milk,Pasteurized Buffalo Milk,71,55
18-01-2026,Pune,High Protein Milk,Matcha,59,125
26-02-2026,Pune,Dairy Products,Kharwas,66,75
25-02-2026,Hyderabad,Ghee,Cultured Cow Ghee,31,500
25-02-2026,Delhi NCR,High Protein Milk,Milk,21,75
08-02-2026,Jaipur,Ghee,A2 Gir Cow Ghee,17,1000
14-02-2026,Pune,High Protein Milk,Coffee,37,90
21-02-2026,Jaipur,Ghee,Cultured Cow Ghee,54,500
11-01-2026,Mumbai,Nutrition Rich Milk,A2 Cow Milk,107,55
02-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,51,500
14-02-2026,Pune,Nutrition Rich Milk,A2 Cow Milk,87,55
25-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,89,500
16-02-2026,Mumbai,High Protein Milk,Matcha,13,125
24-02-2026,Hyderabad,Ghee,Cultured Cow Ghee,116,500
29-01-2026,Mumbai,Ghee,A2 Gir Cow Ghee,89,1000
16-01-2026,Delhi NCR,Ghee,Cultured Cow Ghee,81,500
28-01-2026,Mumbai,Ghee,Cultured Cow Ghee,89,500
24-02-2026,Delhi NCR,Nutrition Rich Milk,Homogenised A2 Cow Milk,17,55
23-01-2026,Mumbai,High Protein Milk,Chickoo Milk,89,120
21-02-2026,Delhi NCR,High Protein Milk,Mango Milk,112,130
24-01-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,80,50
22-02-2026,Jaipur,Dairy Products,Chocolate Milk,96,90
18-01-2026,Hyderabad,Nutrition Rich Milk,Homogenised Cow Milk,26,50
11-01-2026,Hyderabad,High Protein Milk,Cacao Milk,78,120
04-02-2026,Mumbai,Ghee,Cultured Cow Ghee,19,500
24-02-2026,Delhi NCR,Dairy Products,Kharwas,120,75
04-01-2026,Hyderabad,High Protein Milk,Chickoo Milk,105,120
14-02-2026,Mumbai,Dairy Products,A2 Gir Cow Paneer,24,195
05-01-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,18,55
21-02-2026,Pune,Dairy Products,Chocolate Milk,66,90
28-01-2026,Pune,Dairy Products,A2 Gir Cow Paneer,75,195
22-02-2026,Hyderabad,Nutrition Rich Milk,Homogenised Cow Milk,52,50
23-01-2026,Delhi NCR,Nutrition Rich Milk,Homogenised A2 Cow Milk,89,55
24-01-2026,Delhi NCR,High Protein Milk,Mango Milk,94,130
14-02-2026,Pune,Dairy Products,Kharwas,111,75
25-01-2026,Hyderabad,Ghee,Cultured Cow Ghee,106,500
27-02-2026,Pune,High Protein Milk,Milk,111,75
15-01-2026,Jaipur,Dairy Products,Chocolate Milk,44,90
28-02-2026,Mumbai,High Protein Milk,Chickoo Milk,12,120
12-02-2026,Pune,Ghee,Buffalo Ghee,80,500
17-01-2026,Pune,Nutrition Rich Milk,Raw Cow Milk,113,50
13-01-2026,Delhi NCR,High Protein Milk,Milk,70,75
23-01-2026,Jaipur,High Protein Milk,Milk 0.5L,61,120
01-01-2026,Jaipur,Ghee,Buffalo Ghee,102,500
02-03-2026,Jaipur,High Protein Milk,Matcha,49,125
08-02-2026,Pune,High Protein Milk,Chickoo Milk,91,120
06-01-2026,Hyderabad,High Protein Milk,Milk,107,75
17-02-2026,Mumbai,High Protein Milk,Cacao Milk,43,120
01-03-2026,Delhi NCR,High Protein Milk,Kesar Elaichi,57,100
27-02-2026,Pune,High Protein Milk,Milk 250 ML Pouch,120,75
22-02-2026,Mumbai,Nutrition Rich Milk,Raw Cow Milk,68,50
22-01-2026,Hyderabad,Ghee,Buffalo Ghee,113,500
09-02-2026,Mumbai,Dairy Products,Cow Milk Paneer,100,100
20-02-2026,Pune,High Protein Milk,Chickoo Milk,119,120
08-02-2026,Hyderabad,Dairy Products,Chocolate Milk,41,90
07-02-2026,Mumbai,High Protein Milk,Kesar Elaichi,13,100
22-01-2026,Hyderabad,Nutrition Rich Milk,Raw Cow Milk,27,50
06-01-2026,Pune,Ghee,Cultured Cow Ghee,18,500
02-03-2026,Pune,High Protein Milk,Coffee,59,90
09-02-2026,Hyderabad,Ghee,Buffalo Ghee,17,500
10-01-2026,Jaipur,High Protein Milk,Mango Milk,108,130
08-02-2026,Mumbai,High Protein Milk,Chickoo Milk,12,120
22-01-2026,Jaipur,Nutrition Rich Milk,Raw Cow Milk,55,50
08-02-2026,Hyderabad,Ghee,Buffalo Ghee,38,500
22-02-2026,Mumbai,Dairy Products,Chocolate Milk,73,90
28-02-2026,Hyderabad,High Protein Milk,Milk,101,75
04-02-2026,Delhi NCR,Dairy Products,Cow Milk Paneer,55,100
16-01-2026,Hyderabad,Dairy Products,Door Bag,59,250
12-01-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,29,195
02-01-2026,Mumbai,Dairy Products,A2 Gir Cow Paneer,22,195
22-02-2026,Delhi NCR,Nutrition Rich Milk,A2 Cow Milk,29,55
19-02-2026,Jaipur,High Protein Milk,Kesar Elaichi,21,100
28-01-2026,Jaipur,Dairy Products,Cow Milk Paneer,48,100
26-01-2026,Mumbai,Ghee,Cultured Cow Ghee,6,500
22-02-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,101,50
25-01-2026,Delhi NCR,Nutrition Rich Milk,Pasteurized Buffalo Milk,38,55
14-01-2026,Delhi NCR,Nutrition Rich Milk,Lactose Free Milk,30,75
05-01-2026,Hyderabad,High Protein Milk,Chickoo Milk,61,120
17-01-2026,Hyderabad,Dairy Products,Chocolate Milk,84,90
31-01-2026,Jaipur,High Protein Milk,Matcha,86,125
17-01-2026,Mumbai,Nutrition Rich Milk,Raw Cow Milk,40,50
11-01-2026,Delhi NCR,High Protein Milk,Mango Milk,42,130
16-01-2026,Pune,Dairy Products,Kharwas,97,75
02-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,119,500
10-01-2026,Hyderabad,Ghee,Cultured Cow Ghee,73,500
23-02-2026,Jaipur,Ghee,Buffalo Ghee,83,500
15-02-2026,Hyderabad,Dairy Products,A2 Gir Cow Paneer,33,195
19-02-2026,Hyderabad,Nutrition Rich Milk,Raw Cow Milk,53,50
05-02-2026,Jaipur,Ghee,A2 Gir Cow Ghee,76,1000
04-01-2026,Mumbai,Ghee,Cultured Cow Ghee,65,500
11-02-2026,Delhi NCR,Dairy Products,Door Bag,79,250
09-01-2026,Hyderabad,High Protein Milk,Mango Milk,117,130
17-01-2026,Delhi NCR,Ghee,Buffalo Ghee,99,500
14-01-2026,Hyderabad,Dairy Products,Chocolate Milk,54,90
20-02-2026,Pune,Ghee,Buffalo Ghee,6,500
02-01-2026,Mumbai,Dairy Products,Dahi,116,45
02-03-2026,Jaipur,High Protein Milk,Milk 250 ML Pouch,100,75
10-01-2026,Pune,High Protein Milk,Mango Milk,19,130
03-01-2026,Mumbai,Nutrition Rich Milk,Homogenised Cow Milk,98,50
18-01-2026,Jaipur,Nutrition Rich Milk,A2 Cow Milk,82,55
04-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,101,500
12-02-2026,Hyderabad,Dairy Products,Chocolate Milk,53,90
02-02-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,38,55
19-02-2026,Mumbai,Ghee,Cultured Cow Ghee,58,500
01-02-2026,Mumbai,Dairy Products,A2 Gir Cow Paneer,102,195
02-02-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,62,195
03-01-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,69,55
10-01-2026,Hyderabad,Ghee,Buffalo Ghee,120,500
04-02-2026,Mumbai,Ghee,A2 Gir Cow Ghee,108,1000
04-01-2026,Pune,Dairy Products,Chocolate Milk,74,90
13-02-2026,Delhi NCR,High Protein Milk,Coffee,85,90
02-03-2026,Pune,Ghee,A2 Gir Cow Ghee,58,1000
18-01-2026,Jaipur,Nutrition Rich Milk,Pasteurized Buffalo Milk,118,55
21-02-2026,Delhi NCR,Dairy Products,Chocolate Milk,88,90
01-01-2026,Pune,Dairy Products,Kharwas,81,75
31-01-2026,Mumbai,Ghee,Buffalo Ghee,72,500
22-02-2026,Hyderabad,Nutrition Rich Milk,Homogenised Cow Milk,54,50
09-01-2026,Delhi NCR,High Protein Milk,Coffee,14,90
07-02-2026,Delhi NCR,Ghee,Buffalo Ghee,112,500
12-01-2026,Mumbai,Dairy Products,A2 Gir Cow Paneer,114,195
18-02-2026,Delhi NCR,Dairy Products,Dahi,78,45
04-02-2026,Delhi NCR,Ghee,Buffalo Ghee,58,500
11-01-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,24,50
19-01-2026,Jaipur,High Protein Milk,Milk 0.5L,93,120
16-02-2026,Delhi NCR,Dairy Products,Door Bag,28,250
27-02-2026,Hyderabad,High Protein Milk,Milk,59,75
04-01-2026,Mumbai,Ghee,Buffalo Ghee,39,500
18-01-2026,Mumbai,Ghee,Cultured Cow Ghee,67,500
14-01-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,30,55
05-01-2026,Jaipur,Dairy Products,Kharwas,112,75
30-01-2026,Jaipur,Nutrition Rich Milk,Raw Cow Milk,115,50
27-02-2026,Jaipur,Dairy Products,Door Bag,111,250
22-01-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,28,55
06-02-2026,Delhi NCR,High Protein Milk,Kesar Elaichi,30,100
31-01-2026,Mumbai,Dairy Products,Chocolate Milk,38,90
14-02-2026,Pune,Dairy Products,Chocolate Milk,107,90
22-02-2026,Hyderabad,Ghee,Cultured Cow Ghee,105,500
29-01-2026,Pune,High Protein Milk,Matcha,43,125
01-03-2026,Jaipur,Dairy Products,Kharwas,21,75
24-01-2026,Mumbai,Ghee,Cultured Cow Ghee,117,500
28-01-2026,Hyderabad,Ghee,Buffalo Ghee,7,500
21-02-2026,Pune,Ghee,A2 Gir Cow Ghee,26,1000
04-02-2026,Delhi NCR,Ghee,Cultured Cow Ghee,60,500
